b g r count
0 4 153 2
0 4 156 1
0 4 157 2
0 4 159 3
0 4 161 1
0 4 163 2
0 4 169 1
0 4 177 1
0 4 187 1
0 4 191 1
0 5 45 1
0 5 48 1
0 5 68 2
0 5 72 1
0 5 80 1
0 5 84 1
0 5 90 3
0 5 108 1
0 5 112 1
0 5 114 3
0 5 116 2
0 5 118 10
0 5 120 21
0 5 122 9
0 5 124 12
0 5 126 5
0 5 127 15
0 5 128 14
0 5 129 2
0 5 130 15
0 5 132 15
0 5 133 2
0 5 134 13
0 5 136 3
0 5 137 17
0 5 138 8
0 5 139 2
0 5 140 4
0 5 142 4
0 5 144 4
0 5 146 3
0 5 148 6
0 5 149 1
0 5 150 5
0 5 152 2
0 5 154 1
0 5 156 2
0 5 157 1
0 5 158 2
0 5 160 3
0 5 162 1
0 5 176 1
0 5 192 1
0 6 44 1
0 6 79 1
0 6 82 1
0 6 95 3
0 6 100 1
0 6 103 1
0 6 107 1
0 6 111 1
0 6 114 1
0 6 115 3
0 6 117 7
0 6 118 1
0 6 119 19
0 6 121 10
0 6 123 16
0 6 124 1
0 6 125 15
0 6 127 4
0 6 129 9
0 6 130 2
0 6 131 14
0 6 133 23
0 6 134 2
0 6 135 11
0 6 137 5
0 6 139 8
0 6 140 2
0 6 141 4
0 6 143 13
0 6 147 1
0 6 149 4
0 6 150 2
0 6 153 2
0 6 154 1
0 6 155 2
0 6 157 2
0 6 177 1
0 6 179 1
0 7 39 1
0 7 43 1
0 7 46 1
0 7 74 1
0 7 81 1
0 7 97 2
0 7 100 1
0 7 104 1
0 7 110 1
0 7 114 1
0 7 116 2
0 7 118 13
0 7 120 11
0 7 121 2
0 7 122 6
0 7 124 16
0 7 125 1
0 7 126 8
0 7 128 10
0 7 129 1
0 7 130 14
0 7 131 5
0 7 134 21
0 7 135 7
0 7 138 11
0 7 140 11
0 7 141 5
0 7 144 4
0 7 145 1
0 7 146 4
0 7 148 4
0 7 150 2
0 7 151 1
0 7 154 4
0 7 158 1
0 7 160 2
0 7 161 1
0 7 164 2
0 7 170 1
0 8 40 1
0 8 45 1
0 8 55 1
0 8 115 1
0 8 116 2
0 8 119 6
0 8 121 9
0 8 122 4
0 8 125 8
0 8 126 6
0 8 127 4
0 8 129 13
0 8 130 3
0 8 131 4
0 8 132 3
0 8 135 4
0 8 136 8
0 8 139 8
0 8 141 8
0 8 142 5
0 8 145 6
0 8 146 1
0 8 149 2
0 8 150 1
0 8 151 2
0 8 152 4
0 8 155 2
0 8 159 1
0 8 161 1
0 8 162 1
0 9 46 1
0 9 47 1
0 9 51 1
0 9 88 1
0 9 89 1
0 9 91 1
0 9 117 3
0 9 120 12
0 9 121 2
0 9 123 9
0 9 126 8
0 9 127 3
0 9 129 1
0 9 130 5
0 9 133 5
0 9 135 1
0 9 136 8
0 9 137 10
0 9 139 1
0 9 140 4
0 9 141 1
0 9 142 4
0 9 143 5
0 9 150 6
0 9 151 3
0 9 153 1
0 9 157 1
0 9 160 1
0 9 161 2
0 9 170 1
0 10 48 1
0 10 56 2
0 10 90 1
0 10 98 1
0 10 102 1
